FET Vgs-Id
VG=,0,to,5,in,0.1,step
VDS=,0,to,7,in,0.1,step
NO.,VG,ID,VDS,VSUB
,V,A,V,V
417,0.8,1.5651E-06,0.8,-1
418,0.9,8.6291E-06,0.8,-1
419,1,2.6351E-05,0.8,-1
420,1.1,5.6922E-05,0.8,-1
421,1.2,0.000100592,0.8,-1
422,1.3,0.00015688,0.8,-1
423,1.4,0.00022493,0.8,-1
424,1.5,0.00030353,0.8,-1
425,1.6,0.00039048,0.8,-1
426,1.7,0.00048311,0.8,-1
427,1.8,0.00057819,0.8,-1
428,1.9,0.00067332,0.8,-1
429,2,0.00076697,0.8,-1
430,2.1,0.0008581,0.8,-1
431,2.2,0.00094633,0.8,-1
432,2.3,0.00103168,0.8,-1
433,2.4,0.00111339,0.8,-1
434,2.5,0.0011927,0.8,-1
435,2.6,0.0012691,0.8,-1
436,2.7,0.001343,0.8,-1
437,2.8,0.0014142,0.8,-1
438,2.9,0.001483,0.8,-1
439,3,0.0015494,0.8,-1
440,3.1,0.0016138,0.8,-1
441,3.2,0.0016761,0.8,-1
442,3.3,0.0017363,0.8,-1
443,3.4,0.0017945,0.8,-1
444,3.5,0.0018512,0.8,-1
445,3.6,0.001906,0.8,-1
446,3.7,0.0019594,0.8,-1
447,3.8,0.0020111,0.8,-1
448,3.9,0.0020608,0.8,-1
449,4,0.0021099,0.8,-1
450,4.1,0.002157,0.8,-1
451,4.2,0.0022035,0.8,-1
452,4.3,0.0022484,0.8,-1
453,4.4,0.0022925,0.8,-1
454,4.5,0.0023349,0.8,-1
455,4.6,0.0023763,0.8,-1
456,4.7,0.0024164,0.8,-1
457,4.8,0.0024558,0.8,-1
458,4.9,0.0024942,0.8,-1
459,5,0.0025316,0.8,-1
460,0,7.3E-13,0.9,-1
461,0.1,5.9E-13,0.9,-1
462,0.2,5E-13,0.9,-1
463,0.3,1.05E-12,0.9,-1
464,0.4,1.384E-11,0.9,-1
465,0.5,3.0506E-10,0.9,-1
466,0.6,6.6894E-09,0.9,-1
467,0.7,1.3308E-07,0.9,-1
468,0.8,1.5835E-06,0.9,-1
469,0.9,8.7052E-06,0.9,-1
470,1,2.6535E-05,0.9,-1
471,1.1,5.7293E-05,0.9,-1
472,1.2,0.000101281,0.9,-1
473,1.3,0.00015806,0.9,-1
474,1.4,0.00022691,0.9,-1
475,1.5,0.00030673,0.9,-1
476,1.6,0.00039628,0.9,-1
477,1.7,0.00049353,0.9,-1
478,1.8,0.0005959,0.9,-1
479,1.9,0.00070058,0.9,-1
480,2,0.00080517,0.9,-1
481,2.1,0.00090808,0.9,-1
482,2.2,0.00100831,0.9,-1
483,2.3,0.00110562,0.9,-1
484,2.4,0.001199,0.9,-1
485,2.5,0.0012898,0.9,-1
486,2.6,0.0013773,0.9,-1
487,2.7,0.0014618,0.9,-1
488,2.8,0.0015435,0.9,-1
489,2.9,0.0016224,0.9,-1
490,3,0.0016985,0.9,-1
491,3.1,0.0017722,0.9,-1
492,3.2,0.0018435,0.9,-1
493,3.3,0.0019124,0.9,-1
494,3.4,0.001979,0.9,-1
495,3.5,0.0020439,0.9,-1
496,3.6,0.0021066,0.9,-1
497,3.7,0.0021673,0.9,-1
498,3.8,0.0022268,0.9,-1
499,3.9,0.0022838,0.9,-1
500,4,0.0023397,0.9,-1
501,4.1,0.0023939,0.9,-1
502,4.2,0.002447,0.9,-1
503,4.3,0.0024972,0.9,-1
504,4.4,0.0025472,0.9,-1
505,4.5,0.0025962,0.9,-1
506,4.6,0.0026434,0.9,-1
507,4.7,0.0026896,0.9,-1
508,4.8,0.0027347,0.9,-1
509,4.9,0.0027788,0.9,-1
510,5,0.0028215,0.9,-1
511,0,7.5E-13,1,-1
512,0.1,5.8E-13,1,-1
513,0.2,4.6E-13,1,-1
514,0.3,1.03E-12,1,-1
515,0.4,1.397E-11,1,-1
516,0.5,3.0732E-10,1,-1
517,0.6,6.8018E-09,1,-1
518,0.7,1.3306E-07,1,-1
519,0.8,1.5958E-06,1,-1
520,0.9,8.7558E-06,1,-1
521,1,2.6717E-05,1,-1
522,1.1,5.7653E-05,1,-1
